Address,Case Number,Crime Against,Measure Names,Neighborhood,Occur Date,Occur Time,Offense Category,Offense Type,Offense Count
7500 BLOCK OF SW HOOD AVE,17-905830,Property,No Measure Value,South Portland,04/28/17,0,Larceny Offenses,Theft From Motor Vehicle,1
5400 BLOCK OF SW VIEW POINT TER,17-905859,Property,No Measure Value,South Portland,04/28/17,1845,Vandalism,Vandalism,1
0 BLOCK OF SW HOOKER ST,17-905911,Property,No Measure Value,South Portland,04/30/17,300,Fraud Offenses,Identity Theft,1
0 BLOCK OF SW HOOKER ST,17-905911,Property,No Measure Value,South Portland,04/30/17,300,Larceny Offenses,Theft From Motor Vehicle,1
3700 BLOCK OF SW HOOD AVE,17-905918,Property,No Measure Value,South Portland,04/30/17,1120,Larceny Offenses,Theft From Motor Vehicle,1
3500 BLOCK OF SW BOND AVE,17-905945,Property,No Measure Value,South Portland,05/01/17,610,Larceny Offenses,Theft From Motor Vehicle,1
800 BLOCK OF SW GAINES ST,17-906005,Property,No Measure Value,South Portland,05/01/17,1715,Larceny Offenses,Theft From Motor Vehicle,1
3100 BLOCK OF SW 2ND AVE,17-906039,Property,No Measure Value,South Portland,05/01/17,2130,Larceny Offenses,Theft From Motor Vehicle,1
100 BLOCK OF SW WHITAKER ST,17-906054,Property,No Measure Value,South Portland,05/02/17,705,Larceny Offenses,Theft From Motor Vehicle,1
2400 BLOCK OF SW 4TH AVE,17-906070,Property,No Measure Value,South Portland,04/30/17,1930,Larceny Offenses,All Other Larceny,1
7300 BLOCK OF SW VIRGINIA AVE,17-906227,Property,No Measure Value,South Portland,04/27/17,2230,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
200 BLOCK OF SW HOOKER ST,17-906384,Property,No Measure Value,South Portland,05/11/17,2300,Larceny Offenses,Theft From Motor Vehicle,1
3300 BLOCK OF SW WATER AVE,17-906479,Property,No Measure Value,South Portland,05/06/17,125,Vandalism,Vandalism,1
0 BLOCK OF SW HOOKER ST,17-906500,Property,No Measure Value,South Portland,05/06/17,1015,Motor Vehicle Theft,Motor Vehicle Theft,1
3000 BLOCK OF SW CORBETT AVE,17-906668,Property,No Measure Value,South Portland,05/09/17,1415,Fraud Offenses,Identity Theft,1
3000 BLOCK OF SW CORBETT AVE,17-906668,Property,No Measure Value,South Portland,05/09/17,1415,Larceny Offenses,Theft From Building,1
3300 BLOCK OF SW 1ST AVE,17-906785,Property,No Measure Value,South Portland,05/06/17,1500,Larceny Offenses,All Other Larceny,1
2700 BLOCK OF SW 2ND AVE,17-906811,Property,No Measure Value,South Portland,05/12/17,430,Larceny Offenses,Theft From Motor Vehicle,1
6400 BLOCK OF SW VIRGINIA AVE,17-906975,Property,No Measure Value,South Portland,05/15/17,930,Larceny Offenses,All Other Larceny,1
2700 BLOCK OF SW 3RD AVE,17-906981,Property,No Measure Value,South Portland,05/12/17,1040,Larceny Offenses,Theft From Motor Vehicle,1
2700 BLOCK OF SW 3RD AVE,17-906981,Property,No Measure Value,South Portland,05/12/17,1040,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
3800 BLOCK OF SW BOND AVE,17-907102,Property,No Measure Value,South Portland,05/14/17,1805,Larceny Offenses,All Other Larceny,1
5800 BLOCK OF SW CORBETT AVE,17-907332,Property,No Measure Value,South Portland,05/22/17,1530,Larceny Offenses,All Other Larceny,1
3300 BLOCK OF SW BOND AVE,17-907405,Property,No Measure Value,South Portland,05/23/17,1700,Larceny Offenses,All Other Larceny,1
3300 BLOCK OF SW BOND AVE,17-907500,Property,No Measure Value,South Portland,05/25/17,725,Larceny Offenses,All Other Larceny,1
3700 BLOCK OF SW WATER AVE,17-907643,Property,No Measure Value,South Portland,05/28/17,2200,Larceny Offenses,Theft From Motor Vehicle,1
3700 BLOCK OF SW WATER AVE,17-907643,Property,No Measure Value,South Portland,05/28/17,2200,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
200 BLOCK OF SW HOOKER ST,17-907679,Property,No Measure Value,South Portland,05/29/17,1500,Larceny Offenses,Theft From Motor Vehicle,1
2800 BLOCK OF SW 2ND AVE,17-907712,Property,No Measure Value,South Portland,05/28/17,2200,Larceny Offenses,Theft From Motor Vehicle,1
3800 BLOCK OF SW WATER AVE,17-907747,Property,No Measure Value,South Portland,05/29/17,400,Fraud Offenses,Identity Theft,1
3800 BLOCK OF SW WATER AVE,17-907747,Property,No Measure Value,South Portland,05/29/17,400,Larceny Offenses,Theft From Motor Vehicle,1
3700 BLOCK OF SW KELLY AVE,17-907888,Property,No Measure Value,South Portland,06/01/17,1150,Larceny Offenses,Theft From Motor Vehicle,1
2500 BLOCK OF SW 1ST AVE,17-908023,Property,No Measure Value,South Portland,06/05/17,800,Larceny Offenses,All Other Larceny,1
5300 BLOCK OF SW MACADAM AVE,17-908077,Property,No Measure Value,South Portland,06/06/17,1700,Vandalism,Vandalism,1
3800 BLOCK OF SW WATER AVE,17-908393,Property,No Measure Value,South Portland,05/27/17,2240,Larceny Offenses,Theft From Motor Vehicle,1
500 BLOCK OF SW NEBRASKA ST,17-908408,Property,No Measure Value,South Portland,06/11/17,150,Larceny Offenses,Theft From Motor Vehicle,1
300 BLOCK OF SW VERMONT ST,17-908411,Property,No Measure Value,South Portland,06/11/17,100,Larceny Offenses,Theft From Motor Vehicle,1
200 BLOCK OF SW VERMONT ST,17-908412,Property,No Measure Value,South Portland,06/11/17,35,Larceny Offenses,Theft From Motor Vehicle,1
400 BLOCK OF SW IDAHO ST,17-908413,Property,No Measure Value,South Portland,06/11/17,635,Larceny Offenses,Theft From Motor Vehicle,1
5300 BLOCK OF SW MACADAM AVE,17-908513,Property,No Measure Value,South Portland,05/25/17,1300,Larceny Offenses,All Other Larceny,1
4100 BLOCK OF SW MOODY AVE,17-908528,Property,No Measure Value,South Portland,06/13/17,1400,Larceny Offenses,All Other Larceny,1
0 BLOCK OF SW PORTER ST,17-908685,Property,No Measure Value,South Portland,06/17/17,35,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1
200 BLOCK OF SW HAMILTON ST,17-908731,Property,No Measure Value,South Portland,06/15/17,2350,Larceny Offenses,Theft From Motor Vehicle,1
200 BLOCK OF SW MEADE ST,17-908799,Property,No Measure Value,South Portland,06/19/17,1700,Larceny Offenses,Theft From Motor Vehicle,1
5100 BLOCK OF SW VIEW POINT TER,17-908819,Property,No Measure Value,South Portland,06/20/17,1105,Larceny Offenses,Theft From Motor Vehicle,1
5100 BLOCK OF SW LANDING DR,17-908864,Property,No Measure Value,South Portland,06/18/17,2330,Fraud Offenses,Credit Card/ATM Fraud,1
5100 BLOCK OF SW LANDING DR,17-908864,Property,No Measure Value,South Portland,06/18/17,2330,Fraud Offenses,Identity Theft,1
5100 BLOCK OF SW LANDING DR,17-908864,Property,No Measure Value,South Portland,06/18/17,2330,Larceny Offenses,Theft From Motor Vehicle,1
3500 BLOCK OF SW 1ST AVE,17-909100,Property,No Measure Value,South Portland,06/25/17,0,Larceny Offenses,Theft From Motor Vehicle,1
3200 BLOCK OF SW CORBETT AVE,17-909194,Property,No Measure Value,South Portland,06/03/17,1325,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
5100 BLOCK OF SW LANDING DR,17-909270,Property,No Measure Value,South Portland,06/18/17,0,Larceny Offenses,Theft From Motor Vehicle,1
3900 BLOCK OF SW BOND AVE,17-909373,Property,No Measure Value,South Portland,06/30/17,1830,Larceny Offenses,All Other Larceny,1
