Address,Case Number,Crime Against,Measure Names,Neighborhood,Occur Date,Occur Time,Offense Category,Offense Type,Offense Count
0 BLOCK OF SW ARTHUR ST,17-912603,Property,No Measure Value,South Portland,08/27/17,2300,Larceny Offenses,Theft From Motor Vehicle,1
3300 BLOCK OF SW MOODY AVE,17-912627,Property,No Measure Value,South Portland,08/28/17,1200,Larceny Offenses,All Other Larceny,1
3600 BLOCK OF SW RIVER PKWY,17-912650,Property,No Measure Value,South Portland,08/29/17,25,Larceny Offenses,All Other Larceny,1
6600 BLOCK OF SW VIEW POINT TER,17-912904,Property,No Measure Value,South Portland,09/02/17,825,Larceny Offenses,Theft From Motor Vehicle,1
4700 BLOCK OF SW SLAVIN RD,17-913072,Property,No Measure Value,South Portland,09/03/17,200,Vandalism,Vandalism,1
200 BLOCK OF SW WHITAKER ST,17-913113,Property,No Measure Value,South Portland,09/05/17,2000,Larceny Offenses,Theft From Motor Vehicle,1
100 BLOCK OF SW MEADE ST,17-913317,Property,No Measure Value,South Portland,09/09/17,1935,Fraud Offenses,Identity Theft,1
100 BLOCK OF SW MEADE ST,17-913317,Property,No Measure Value,South Portland,09/09/17,1935,Larceny Offenses,All Other Larceny,1
3800 BLOCK OF SW MOODY AVE,17-913337,Property,No Measure Value,South Portland,09/10/17,210,Larceny Offenses,Theft From Motor Vehicle,1
7000 BLOCK OF SW BRIER PL,17-913358,Property,No Measure Value,South Portland,09/07/17,1030,Larceny Offenses,All Other Larceny,1
300 BLOCK OF SW DAKOTA ST,17-913391,Property,No Measure Value,South Portland,09/10/17,130,Larceny Offenses,Theft From Motor Vehicle,1
5100 BLOCK OF SW SLAVIN RD,17-913403,Property,No Measure Value,South Portland,09/09/17,2330,Fraud Offenses,Identity Theft,1
5100 BLOCK OF SW SLAVIN RD,17-913403,Property,No Measure Value,South Portland,09/09/17,2330,Larceny Offenses,Theft From Motor Vehicle,1
500 BLOCK OF SW CALIFORNIA ST,17-913487,Property,No Measure Value,South Portland,09/08/17,1730,Larceny Offenses,All Other Larceny,1
5200 BLOCK OF SW CORBETT AVE,17-913505,Property,No Measure Value,South Portland,09/12/17,1800,Larceny Offenses,Theft From Motor Vehicle,1
3100 BLOCK OF SW 2ND AVE,17-913523,Property,No Measure Value,South Portland,09/13/17,0,Larceny Offenses,Theft From Motor Vehicle,1
400 BLOCK OF SW BOUNDARY ST,17-913687,Property,No Measure Value,South Portland,09/16/17,2300,Larceny Offenses,Theft From Motor Vehicle,1
0 BLOCK OF SW ARTHUR ST,17-913700,Property,No Measure Value,South Portland,09/16/17,2050,Fraud Offenses,Credit Card/ATM Fraud,1
0 BLOCK OF SW ARTHUR ST,17-913700,Property,No Measure Value,South Portland,09/16/17,2050,Fraud Offenses,Identity Theft,1
0 BLOCK OF SW ARTHUR ST,17-913700,Property,No Measure Value,South Portland,09/16/17,2050,Larceny Offenses,All Other Larceny,1
3700 BLOCK OF SW RIVER PKWY,17-913742,Property,No Measure Value,South Portland,09/11/17,1425,Larceny Offenses,Theft From Motor Vehicle,1
600 BLOCK OF SW LOWELL ST,17-913772,Property,No Measure Value,South Portland,09/18/17,500,Larceny Offenses,All Other Larceny,1
3700 BLOCK OF SW KELLY AVE,17-913894,Property,No Measure Value,South Portland,09/20/17,2300,Larceny Offenses,Theft From Motor Vehicle,1
0 BLOCK OF SW CURRY ST,17-914081,Property,No Measure Value,South Portland,09/22/17,2230,Larceny Offenses,Theft From Motor Vehicle,1
3700 BLOCK OF SW BOND AVE,17-914200,Property,No Measure Value,South Portland,09/25/17,1615,Larceny Offenses,Theft From Motor Vehicle,1
3200 BLOCK OF SW CORBETT AVE,17-914223,Property,No Measure Value,South Portland,09/26/17,1830,Larceny Offenses,Theft From Motor Vehicle,1
NULL,17-X4746876,Person,No Measure Value,South Portland,01/04/17,154,Assault Offenses,Simple Assault,1
NULL,17-X4751043,Person,No Measure Value,South Portland,12/15/16,1800,Sex Offenses,Rape,1
NULL,17-X4753111,Property,No Measure Value,South Portland,01/04/17,1200,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1
NULL,17-X4755693,Person,No Measure Value,South Portland,01/18/17,2200,Assault Offenses,Intimidation,1
NULL,17-X4761713,Person,No Measure Value,South Portland,01/27/17,1308,Assault Offenses,Intimidation,1
NULL,17-X4778850,Person,No Measure Value,South Portland,02/13/17,930,Assault Offenses,Intimidation,1
NULL,17-X4782004,Person,No Measure Value,South Portland,02/24/17,48,Assault Offenses,Simple Assault,1
NULL,17-X4796755,Person,No Measure Value,South Portland,03/15/17,1645,Sex Offenses,Fondling,1
NULL,17-X4806147,Person,No Measure Value,South Portland,03/29/17,336,Assault Offenses,Simple Assault,1
NULL,17-X4826638,Person,No Measure Value,South Portland,03/30/17,1519,Assault Offenses,Simple Assault,1
NULL,17-X4837902,Person,No Measure Value,South Portland,05/12/17,155,Assault Offenses,Aggravated Assault,1
NULL,17-X4839200,Person,No Measure Value,South Portland,05/14/17,1317,Assault Offenses,Simple Assault,1
NULL,17-X4841865,Person,No Measure Value,South Portland,05/17/17,2320,Assault Offenses,Simple Assault,1
NULL,17-X4851298,Person,No Measure Value,South Portland,04/15/17,900,Assault Offenses,Intimidation,1
NULL,17-X4853262,Person,No Measure Value,South Portland,06/01/17,2229,Assault Offenses,Simple Assault,1
NULL,17-X4869530,Person,No Measure Value,South Portland,06/21/17,1400,Assault Offenses,Intimidation,1
NULL,17-X4872172,Person,No Measure Value,South Portland,06/27/17,700,Assault Offenses,Intimidation,1
NULL,17-X4874992,Person,No Measure Value,South Portland,06/24/17,2100,Sex Offenses,Rape,1
NULL,17-X4899927,Person,No Measure Value,South Portland,08/04/17,127,Assault Offenses,Intimidation,1
NULL,17-X4899927,Property,No Measure Value,South Portland,08/04/17,127,Vandalism,Vandalism,1
NULL,17-X4905639,Person,No Measure Value,South Portland,08/11/17,2051,Assault Offenses,Intimidation,1
NULL,17-X4937113,Property,No Measure Value,South Portland,09/21/17,1850,Larceny Offenses,Pocket-Picking,1
NULL,17-X4938613,Person,No Measure Value,South Portland,09/25/17,1330,Assault Offenses,Simple Assault,1
NULL,17-X4941635,Person,No Measure Value,South Portland,09/25/17,1800,Sex Offenses,Rape,1
NULL,17-X4945431,Property,No Measure Value,South Portland,09/29/17,1835,Larceny Offenses,All Other Larceny,1
